Offense,Defense,Week,Start xPts,End xPts
ARI,NE,1,1.90,0.00
ARI,NE,1,1.24,0.00
ARI,NE,1,1.62,0.00
ARI,NE,1,2.89,7.00
ARI,NE,1,2.52,0.00
ARI,NE,1,2.23,0.00
ARI,NE,1,1.90,0.00
ARI,NE,1,3.88,7.00
ARI,NE,1,1.71,7.00
ARI,NE,1,1.10,2.20
ATL,TB,1,1.62,0.00
ATL,TB,1,1.90,2.74
ATL,TB,1,2.42,0.00
ATL,TB,1,4.83,7.00
ATL,TB,1,1.90,0.00
ATL,TB,1,2.56,2.74
ATL,TB,1,1.90,0.00
ATL,TB,1,1.71,0.00
ATL,TB,1,2.09,7.00
ATL,TB,1,1.43,0.00
ATL,TB,1,2.61,2.84
ATL,TB,1,1.15,0.00
BAL,BUF,1,1.38,0.00
BAL,BUF,1,2.33,2.39
BAL,BUF,1,1.15,2.01
BAL,BUF,1,1.43,7.00
BAL,BUF,1,1.81,0.00
BAL,BUF,1,2.56,0.00
BAL,BUF,1,1.15,0.00
BAL,BUF,1,2.14,0.00
BAL,BUF,1,1.76,2.65
BAL,BUF,1,2.42,0.00
BUF,BAL,1,2.23,0.00
BUF,BAL,1,3.22,0.00
BUF,BAL,1,1.90,0.00
BUF,BAL,1,1.90,7.00
BUF,BAL,1,1.90,2.07
BUF,BAL,1,2.04,0.00
BUF,BAL,1,2.70,0.00
BUF,BAL,1,2.37,0.00
BUF,BAL,1,1.76,0.00
CAR,DEN,1,2.09,7.00
CAR,DEN,1,2.42,0.00
CAR,DEN,1,1.24,7.00
CAR,DEN,1,1.76,2.37
CAR,DEN,1,1.90,0.00
CAR,DEN,1,1.24,0.00
CAR,DEN,1,2.56,0.00
CAR,DEN,1,1.90,1.89
CAR,DEN,1,1.90,2.68
CAR,DEN,1,2.61,2.01
CHI,HOU,1,1.90,7.00
CHI,HOU,1,3.55,0.00
CHI,HOU,1,1.19,0.00
CHI,HOU,1,1.76,0.00
CHI,HOU,1,1.90,7.00
CHI,HOU,1,1.52,1.41
CHI,HOU,1,1.90,0.00
CHI,HOU,1,2.56,0.00
CHI,HOU,1,1.38,0.00
CHI,HOU,1,1.52,0.00
CHI,HOU,1,1.95,0.00
CHI,HOU,1,1.71,0.00
CIN,NYJ,1,1.90,0.00
CIN,NYJ,1,1.71,0.60
CIN,NYJ,1,1.67,2.76
CIN,NYJ,1,1.76,7.00
CIN,NYJ,1,1.90,0.00
CIN,NYJ,1,1.43,2.93
CIN,NYJ,1,2.42,0.00
CIN,NYJ,1,1.10,7.00
CIN,NYJ,1,1.90,1.87
CIN,NYJ,1,1.48,2.20
CIN,NYJ,1,4.26,0.00
CLE,PHI,1,1.90,0.00
CLE,PHI,1,1.67,0.00
CLE,PHI,1,2.42,0.00
CLE,PHI,1,1.90,7.00
CLE,PHI,1,1.67,3.77
CLE,PHI,1,1.90,0.00
CLE,PHI,1,1.90,2.71
CLE,PHI,1,1.43,-2.00
CLE,PHI,1,1.90,0.00
CLE,PHI,1,0.77,0.00
CLE,PHI,1,1.67,0.00
CLE,PHI,1,1.10,0.00
CLE,PHI,1,1.90,0.00
DAL,NYG,1,1.90,2.91
DAL,NYG,1,1.19,1.57
DAL,NYG,1,1.90,2.89
DAL,NYG,1,3.79,7.00
DAL,NYG,1,2.61,0.00
DAL,NYG,1,1.90,1.72
DAL,NYG,1,1.67,0.00
DAL,NYG,1,1.90,0.00
DAL,NYG,1,1.67,0.00
DEN,CAR,1,1.90,3.72
DEN,CAR,1,1.90,2.45
DEN,CAR,1,1.67,7.00
DEN,CAR,1,1.90,0.00
DEN,CAR,1,1.90,0.00
DEN,CAR,1,1.67,4.03
DEN,CAR,1,1.38,0.00
DEN,CAR,1,1.76,7.00
DEN,CAR,1,4.36,7.00
DEN,CAR,1,1.90,0.00
DEN,CAR,1,2.61,0.00
DET,IND,1,1.67,7.00
DET,IND,1,1.67,0.00
DET,IND,1,1.57,7.00
DET,IND,1,1.90,7.00
DET,IND,1,1.90,0.00
DET,IND,1,1.90,0.00
DET,IND,1,1.62,0.00
DET,IND,1,2.09,7.00
DET,IND,1,1.90,0.00
DET,IND,1,1.90,7.00
DET,IND,1,1.90,2.42
GB,JAC,1,4.07,7.00
GB,JAC,1,0.86,0.00
GB,JAC,1,1.90,0.00
GB,JAC,1,0.86,0.00
GB,JAC,1,1.90,7.00
GB,JAC,1,1.90,7.00
GB,JAC,1,1.90,2.89
GB,JAC,1,1.90,2.93
GB,JAC,1,1.57,0.00
GB,JAC,1,1.43,0.00
HOU,CHI,1,2.00,3.31
HOU,CHI,1,1.85,0.00
HOU,CHI,1,2.19,2.85
HOU,CHI,1,2.56,7.00
HOU,CHI,1,1.52,0.00
HOU,CHI,1,2.00,0.00
HOU,CHI,1,4.26,2.85
HOU,CHI,1,2.19,0.00
HOU,CHI,1,1.15,0.00
HOU,CHI,1,2.42,7.00
