Date,Price,Open,High,Low,Vol.,Change %
11-Jan-17,357.25,357.75,358.25,352,209.46K,-0.28%
10-Jan-17,358.25,359.25,359.5,357.25,134.08K,-0.49%
9-Jan-17,360,359,360.75,355.25,185.76K,0.56%
6-Jan-17,358,360.75,362.5,356.75,166.34K,-0.90%
5-Jan-17,361.25,359.5,362.75,358.5,194.54K,0.42%
4-Jan-17,359.75,355,360,354.75,171.29K,1.12%
3-Jan-17,355.75,352,358.5,351.5,174.70K,1.07%
30-Dec-16,352,349.5,353,347.75,112.01K,0.64%
29-Dec-16,349.75,348.25,351,347.5,92.60K,0.43%
28-Dec-16,348.25,354.25,354.75,347.25,122.29K,-1.90%
27-Dec-16,355,346.5,356,346.25,132.72K,2.68%
23-Dec-16,345.75,347,347.75,345.5,79.91K,-0.43%
22-Dec-16,347.25,347.25,348,346,97.05K,0.00%
21-Dec-16,347.25,350,351.25,346.75,105.21K,-0.86%
20-Dec-16,350.25,353.25,353.75,349.25,103.80K,-0.85%
19-Dec-16,353.25,356,356.75,351.5,93.94K,-0.84%
16-Dec-16,356.25,356,359,353.5,113.01K,-0.07%
15-Dec-16,356.5,361.5,363,356.25,136.20K,1.35%
14-Dec-16,351.75,356.75,357,353.5,0.52K,-1.26%
13-Dec-16,356.25,355.25,359,353.5,1.37K,0.49%
12-Dec-16,354.5,352.25,355,349.75,2.00K,0.57%
9-Dec-16,352.5,349,352.5,344.5,1.72K,1.73%
8-Dec-16,346.5,350.25,352.75,344.25,1.94K,-1.14%
7-Dec-16,350.5,350.25,351,347.25,2.35K,-0.14%
6-Dec-16,351,348.25,354,348.25,2.55K,0.43%
5-Dec-16,349.5,337.5,350,337.5,4.15K,3.56%
2-Dec-16,337.5,332.75,338,332.75,8.16K,1.73%
1-Dec-16,331.75,337,338.25,331,8.93K,-1.48%
30-Nov-16,336.75,337.25,341.75,336,35.07K,0.00%
29-Nov-16,336.75,348,348.25,335.5,190.80K,-3.37%
28-Nov-16,348.5,349.25,353,346.75,208.95K,-0.21%
25-Nov-16,349.25,349.75,350.75,348.5,176.20K,-0.43%
23-Nov-16,350.75,350.25,351,346.5,190.75K,-0.07%
22-Nov-16,351,349.5,351.75,346,197.45K,0.36%
21-Nov-16,349.75,345.25,350,344.75,169.05K,1.23%
18-Nov-16,345.5,342,346.75,340.5,171.45K,1.02%
17-Nov-16,342,339,343.5,338.25,192.49K,1.03%
16-Nov-16,338.5,341.5,343.5,338.5,145.24K,-0.88%
15-Nov-16,341.5,337,342.25,335.75,190.52K,1.26%
14-Nov-16,337.25,340.5,341,335.5,181.71K,-0.88%
11-Nov-16,340.25,343.25,345,339,212.98K,-0.95%
10-Nov-16,343.5,341.5,346.5,340.25,261.28K,0.81%
9-Nov-16,340.75,353,355,340.5,323.41K,-3.81%
