Date,Price,Open,High,Low,Vol.,Change %
11-Jan-17,419,425,426,412.25,-,-1.87%
10-Jan-17,427,426.5,427.25,423.5,-,-0.06%
9-Jan-17,427.25,424,428.25,421.12,-,1.00%
6-Jan-17,423,425.75,428,422,-,-0.59%
5-Jan-17,425.5,419.25,427,416.5,-,1.79%
4-Jan-17,418,406.5,418,405,-,2.86%
3-Jan-17,406.38,408.38,414,406.38,-,-0.34%
30-Dec-16,407.75,405.75,409.25,404.75,-,0.74%
29-Dec-16,404.75,403.5,407,402.75,-,0.75%
28-Dec-16,401.75,409.75,410,400.5,-,-2.01%
27-Dec-16,410,395.25,411,395.25,-,3.96%
23-Dec-16,394.38,397.5,398.25,392.75,-,-0.60%
22-Dec-16,396.75,399,400.5,396.75,-,-0.69%
21-Dec-16,399.5,402.75,404.5,399.25,-,-0.87%
20-Dec-16,403,406,407.75,400.5,-,-0.56%
19-Dec-16,405.25,412.5,413.25,403.25,-,-0.86%
16-Dec-16,408.75,408.5,410.5,404.75,-,-0.06%
15-Dec-16,409,417.75,418,408.75,-,-2.21%
14-Dec-16,418.25,416.5,418.25,413.25,-,0.06%
13-Dec-16,418,416.62,420.75,414.5,-,0.30%
12-Dec-16,416.75,415.25,416.75,408.75,-,0.18%
9-Dec-16,416,409.25,416.38,404,-,2.02%
8-Dec-16,407.75,402.38,409.25,402,-,1.62%
7-Dec-16,401.25,406.75,407.5,399.75,-,-1.41%
6-Dec-16,407,409.5,413,406.25,-,-0.37%
5-Dec-16,408.5,405.25,410,404.75,-,1.36%
2-Dec-16,403,397.75,403,396.75,-,1.83%
1-Dec-16,395.75,403.75,404.5,393.25,-,-1.80%
30-Nov-16,403,409.5,414,403,-,-1.29%
29-Nov-16,408.25,415.25,415.5,408,-,-2.33%
28-Nov-16,418,420.5,421.25,414.5,-,5.36%
25-Nov-16,396.75,401.62,403.5,396.75,-,-1.18%
23-Nov-16,401.5,407,407.25,396.62,-,-1.17%
22-Nov-16,406.25,410.5,411.75,406.25,-,-1.10%
21-Nov-16,410.75,409,412,404.75,-,0.49%
18-Nov-16,408.75,403,410,400.5,-,1.36%
17-Nov-16,403.25,398.25,406.25,396.75,-,1.57%
16-Nov-16,397,400,401,397,-,-0.50%
15-Nov-16,399,394.75,402,393,-,1.27%
14-Nov-16,394,403.5,403.75,392.75,-,-1.99%
11-Nov-16,402,405.75,407.5,401.25,-,-0.74%
10-Nov-16,405,408.5,414.25,402.5,-,-0.67%
9-Nov-16,407.75,416,417.75,404,-,-1.63%
8-Nov-16,414.5,410.5,419.75,408.38,-,1.47%
7-Nov-16,408.5,414.12,415.75,406.75,-,-1.39%
4-Nov-16,414.25,411.75,415.25,410.5,-,0.67%
3-Nov-16,411.5,417.75,420,409.5,-,-1.67%
2-Nov-16,418.5,414.38,420.25,412.25,-,1.09%
1-Nov-16,414,416,418.25,411,-,-0.30%
31-Oct-16,415.25,410.75,416.75,409.25,-,1.78%
28-Oct-16,408,415.75,417.5,407.62,-,-1.69%
27-Oct-16,415,412,418.75,411.75,-,0.79%
26-Oct-16,411.75,403.5,414.12,403,-,1.73%
25-Oct-16,404.75,403.75,406.5,398.88,-,0.31%
24-Oct-16,403.5,413.5,416.88,400.75,-,-2.65%
21-Oct-16,414.5,416.75,418.25,413.5,-,-0.60%
20-Oct-16,417,420.12,422.75,415.5,-,-0.71%
19-Oct-16,420,420.12,422.5,414,-,0.12%
18-Oct-16,419.5,425,425.5,418.5,-,-1.12%
17-Oct-16,424.25,418.75,425.5,416.25,-,0.83%
14-Oct-16,420.75,415.5,428.25,415.25,-,1.02%
13-Oct-16,416.5,397.75,417,397.5,-,4.78%
12-Oct-16,397.5,404.88,414,396.25,-,-2.39%
11-Oct-16,407.25,404,408.75,401.5,-,0.74%
10-Oct-16,404.25,397.25,405.38,397.25,-,2.34%
7-Oct-16,395,397.25,401,394.5,-,-0.06%
6-Oct-16,395.25,407.75,409.5,393.5,-,-2.53%
5-Oct-16,405.5,395.5,408.25,392,-,2.46%
4-Oct-16,395.75,395.75,398.25,393,-,-0.25%
3-Oct-16,396.75,400.5,401.75,391.75,-,-1.24%
30-Sep-16,401.75,398.75,403.88,390.25,-,0.69%
29-Sep-16,399,402.5,406.75,398,-,-1.09%
28-Sep-16,403.38,404.75,407.25,402,-,-0.22%
27-Sep-16,404.25,398,405,394.25,-,2.08%
26-Sep-16,396,403.75,407,395.5,-,-2.28%
23-Sep-16,405.25,404.25,409.5,401.38,-,-0.12%
22-Sep-16,405.75,406,411.75,404.5,-,-0.61%
21-Sep-16,408.25,405,409,402.5,-,0.62%
20-Sep-16,405.75,403.25,410,401.5,-,0.43%
19-Sep-16,404,404.75,409,400,-,0.03%
16-Sep-16,403.88,398.75,404.5,394.25,-,1.10%
15-Sep-16,399.5,402,406.75,398.25,-,-0.68%
14-Sep-16,402.25,400.75,404.25,395.25,-,0.56%
