David Johnson,RB,ARI,@DET,21.4,9400,9.7,27.9,9.1
Larry Fitzgerald,WR,ARI,@DET,12,6400,3.9,21,8.55
John Brown,WR,ARI,@DET,9.1,5700,1.5,18.4,8.45
Carson Palmer,QB,ARI,@DET,17.2,7300,8.3,28.9,10.3
J.J. Nelson,WR,ARI,@DET,7.5,5200,0,16.9,8.45
Arizona Cardinals,DEF,ARI,@DET,7.5,4600,2.2,12.9,5.35
Jermaine Gresham,TE,ARI,@DET,4.2,4600,0.1,12.7,6.3
Phil Dawson,K,ARI,@DET,7.3,4500,2.4,12.5,5.05
Kerwynn Williams,RB,ARI,@DET,4.1,4500,0,14,7
Andre Ellington,RB,ARI,@DET,4.3,4700,0,14.1,7.05
Jaron Brown,WR,ARI,@DET,3.5,4500,0,13.4,6.7
Troy Niklas,TE,ARI,@DET,0.5,4500,0,10.2,5.1
Devonta Freeman,RB,ATL,@CHI,14.6,8300,4.9,22.4,8.75
Julio Jones,WR,ATL,@CHI,15.7,9000,6.5,24.3,8.9
Tevin Coleman,RB,ATL,@CHI,10.1,6200,1.7,18.8,8.55
Austin Hooper,TE,ATL,@CHI,6.2,4700,0.4,14.1,6.85
Matt Ryan,QB,ATL,@CHI,19.7,8500,9.8,30.6,10.4
Mohamed Sanu,WR,ATL,@CHI,7.4,4800,0.6,16.9,8.15
Taylor Gabriel,WR,ATL,@CHI,7.6,5100,0,17,8.5
Matt Bryant,K,ATL,@CHI,8.1,4900,3,13.1,5.05
Atlanta Falcons,DEF,ATL,@CHI,6.8,4700,2,11.7,4.85
Levine Toilolo,TE,ATL,@CHI,1.6,4500,0,11,5.5
Justin Hardy,WR,ATL,@CHI,3,4500,0,12.8,6.4
Terron Ward,RB,ATL,@CHI,1.6,4500,0,11.9,5.95
Andre Roberts,WR,ATL,@CHI,1.6,4500,0,11.6,5.8
Nick Williams,WR,ATL,@CHI,1.1,4600,0,11.2,5.6
Danny Woodhead,RB,BAL,@CIN,9.9,6500,3,18.7,7.85
Terrance West,RB,BAL,@CIN,9.6,6400,2.1,18.5,8.2
Mike Wallace,WR,BAL,@CIN,9.1,5700,1.4,18.5,8.55
Jeremy Maclin,WR,BAL,@CIN,8.6,6100,1.4,18,8.3
Breshad Perriman,WR,BAL,@CIN,7,5000,0.2,16.5,8.15
Joe Flacco,QB,BAL,@CIN,15.2,6900,6.1,27.4,10.65
Maxx Williams,TE,BAL,@CIN,3.6,4500,0,12.3,6.15
Baltimore Ravens,DEF,BAL,@CIN,6.5,4400,1.9,11.1,4.6
Justin Tucker,K,BAL,@CIN,7.7,5000,2.2,12.3,5.05
Nick Boyle,TE,BAL,@CIN,3.2,4500,0,12,6
Ben Watson,TE,BAL,@CIN,1.8,4900,0,11.1,5.55
Javorius Allen,RB,BAL,@CIN,2.3,4700,0,12.5,6.25
Michael Campanaro,WR,BAL,@CIN,0.7,4500,0,10.8,5.4
Chris Moore,WR,BAL,@CIN,0.9,4700,0,11,5.5
LeSean McCoy,RB,BUF,NYJ,15.4,8500,5.5,23.1,8.8
Buffalo Bills,DEF,BUF,NYJ,9.4,4700,2.7,16,6.65
Charles Clay,TE,BUF,NYJ,5.8,4600,0.4,13.8,6.7
Tyrod Taylor,QB,BUF,NYJ,17.5,7500,6.9,29.7,11.4
Jordan Matthews,WR,BUF,NYJ,8.8,6300,1.3,18.1,8.4
Steven Hauschka,K,BUF,NYJ,7.6,4800,2.4,12.5,5.05
Mike Tolbert,RB,BUF,NYJ,4.4,4800,0,14.2,7.1
Andre Holmes,WR,BUF,NYJ,4.4,4700,0,14.1,7.05
Joe Banyard,RB,BUF,NYJ,2,4500,0,12.3,6.15
Nick O'Leary,TE,BUF,NYJ,0.8,4500,0,10.4,5.2
Brandon Tate,WR,BUF,NYJ,1.9,4800,0,11.9,5.95
Kaelin Clay,WR,BUF,NYJ,1.2,4500,0,11.3,5.65
Greg Olsen,TE,CAR,@SF,10.9,6600,3.5,17.3,6.9
Christian McCaffrey,RB,CAR,@SF,12.3,6500,4.2,20.6,8.2
Jonathan Stewart,RB,CAR,@SF,10.3,6100,2.3,18.9,8.3
Kelvin Benjamin,WR,CAR,@SF,10.8,6500,1.7,19.7,9
Cam Newton,QB,CAR,@SF,19.4,7900,7.6,31,11.7
Devin Funchess,WR,CAR,@SF,7.5,5100,0.1,16.8,8.35
Carolina Panthers,DEF,CAR,@SF,7.5,4900,2.2,12.8,5.3
Graham Gano,K,CAR,@SF,6.4,4700,1.8,11.9,5.05
Curtis Samuel,WR,CAR,@SF,4.5,5400,0,14.3,7.15
Ed Dickson,TE,CAR,@SF,0.9,4500,0,10.4,5.2
Fozzy Whittaker,RB,CAR,@SF,1.4,4600,0,11.8,5.9
Russell Shepard,WR,CAR,@SF,1.8,4700,0,11.8,5.9
Cameron Artis-Payne,RB,CAR,@SF,0.4,4700,0,11,5.5
Harrison Butker,K,CAR,@SF,1.6,4500,0,8.7,4.35
Jordan Howard,RB,CHI,ATL,13.8,7500,4.9,21.9,8.5
Kevin White,WR,CHI,ATL,8.9,5600,1.5,18.2,8.35
Kendall Wright,WR,CHI,ATL,8.4,5200,1.2,17.8,8.3
