Name,Team,Pos,Points,Price,Play Prob
Mohamed Salah,LIV,MID,7.66,9.1,0.38
Dele Alli,TOT,MID,7.36,9.5,1
Maxim Choupo-Moting,STO,MID,6.85,5.6,0.9
Alvaro Morata,CHE,FWD,6.76,10.2,0.9
Harry Kane,TOT,FWD,6.49,12.4,1
Ben Davies,TOT,DEF,6.39,5.7,1
Richarlison,WAT,MID,6.28,6,0.9
Andrew Robertson,LIV,DEF,6.19,4.9,0.17
Joselu,NEW,FWD,5.94,5.5,0.74
Andre Carrillo,WAT,MID,5.94,5.5,0.75
Christian Eriksen,TOT,MID,5.62,9.7,1
Lewis Dunk,BRI,DEF,5.35,4.5,1
Danny Welbeck,ARS,FWD,5.27,7.5,1
Kevin De Bruyne,MCI,MID,5.26,9.9,1
Gabriel Jesus,MCI,FWD,5.26,10.4,0.84
Chris Wood,BUR,MID,5.25,6.5,0.75
Jamie Vardy,LEI,FWD,5.17,8.5,1
Javier Hernandez,WHU,FWD,5.14,7.1,0.84
Eric Bailly,MUN,DEF,5.13,6.2,1
Scott Dann,CPL,DEF,5.11,4.9,1
Joel Matip,LIV,DEF,5.1,5.5,1
Shinji Okazaki,LEI,FWD,5.06,5.5,0.54
Sergio Aguero,MCI,FWD,5.04,11.4,0.72
Maya Yoshida,SOT,DEF,5.03,5,0.54
Riyad Mahrez,LEI,MID,5.02,8.5,1
Nathan Redmond,SOT,MID,4.95,6.5,1
Pedro,CHE,MID,4.92,7.9,0.74
Steve Mounie,HUD,FWD,4.89,6.1,1
Christian Atsu,NEW,MID,4.85,5,0.54
Aaron Ramsey,ARS,MID,4.84,7,0.63
Tiemoue Bakayoko,CHE,MID,4.79,5,0.63
Raheem Sterling,MCI,MID,4.78,7.8,0.28
Romelu Lukaku,MUN,FWD,4.72,11.7,1
Victor Moses,CHE,DEF,4.71,6.5,0.9
Moussa Sissoko,TOT,MID,4.67,5.4,0.56
Nicolas Otamendi,MCI,DEF,4.6,5.5,1
Trent Alexander-Arnold,LIV,DEF,4.56,4.5,0.56
Xherdan Shaqiri,STO,MID,4.55,5.9,0.84
Phil Jones,MUN,DEF,4.54,5.1,1
Steven Davis,SOT,MID,4.54,5,1
Wayne Rooney,EVE,FWD,4.53,7.5,1
Joshua King,BOR,FWD,4.51,7.3,1
Jay Rodriguez,WBA,FWD,4.5,5.9,1
Zanka,HUD,DEF,4.48,4.6,1
Ahmed Hegazi,WBA,DEF,4.47,4.9,1
Jermain Defoe,BOR,FWD,4.42,7.8,0.74
Ayoze Perez,NEW,FWD,4.41,5.5,1
Jese,STO,MID,4.38,6,1
Pascal Gross,BRI,MID,4.35,5.5,1
Christian Benteke,CPL,FWD,4.34,7.8,1
Robbie Brady,BUR,MID,4.33,5.5,1
Tammy Abraham,SWA,FWD,4.31,5.5,1
Tom Ince,HUD,MID,4.29,6,1
Matthew Phillips,WBA,MID,4.25,6,1
Dusan Tadic,SOT,MID,4.18,6.5,0.54
John Stones,MCI,DEF,4.17,5.5,0.72
David Silva,MCI,MID,4.15,8.2,1
Mesut Ozil,ARS,MID,4.15,9.5,1
